time,temperature,humidity,pressure
2014-02-17T17:50:00,5,65,1011
2014-02-17T15:50:00,8,53,1010
2014-02-17T15:20:00,8,53,1009
2014-02-17T03:50:00,3,81,1002
2014-02-17T15:00:00,8,41,1010
2014-02-18T08:50:00,5,93,1012
2014-02-18T05:50:00,3,93,1013
2014-02-18T14:00:00,6,75,1011
2014-02-18T11:00:00,6,87,1013
2014-02-18T05:00:00,3,87,1014
2014-02-18T19:50:00,5,87,1008
2014-02-18T05:20:00,3,93,1013
2014-02-18T02:00:00,2,87,1014
2014-02-18T14:50:00,7,76,1010
2014-02-18T20:50:00,5,87,1008
2014-02-18T03:00:00,2,88,1014
2014-02-18T15:50:00,6,81,1010
2014-02-18T19:20:00,5,87,1008
2014-02-18T07:50:00,4,93,1012
2014-02-18T07:20:00,4,93,1012
2014-02-18T01:50:00,2,87,1014
2014-02-18T07:00:00,4,90,1013
2014-02-18T17:50:00,6,81,1009
2014-02-18T18:50:00,5,87,1009
2014-02-18T18:20:00,6,81,1009
2014-02-18T00:00:00,1,85,1014
2014-02-18T14:20:00,6,81,1011
2014-02-18T08:00:00,4,90,1013
2014-02-18T15:00:00,6,71,1010
2014-02-18T11:20:00,6,87,1012
2014-02-18T03:50:00,3,87,1014
2014-02-18T11:50:00,6,87,1012
2014-02-18T16:00:00,6,73,1010
2014-02-18T04:00:00,3,88,1014
2014-02-18T16:20:00,6,81,1009
2014-02-18T04:20:00,3,93,1013
2014-02-18T04:50:00,3,93,1013
2014-02-18T18:00:00,6,78,1009
2014-02-18T20:20:00,5,87,1008
2014-02-18T09:00:00,5,93,1013
2014-02-18T09:20:00,5,93,1012
2014-02-18T17:20:00,6,81,1009
2014-02-18T03:20:00,2,93,1014
2014-02-18T12:50:00,6,87,1011
2014-02-18T02:50:00,2,93,1014
2014-02-18T20:00:00,5,85,1008
2014-02-18T12:00:00,6,87,1012
2014-02-18T12:20:00,6,87,1012
2014-02-18T08:20:00,4,100,1012
2014-02-18T21:50:00,5,87,1008
2014-02-18T21:20:00,5,87,1008
2014-02-18T21:00:00,5,81,1008
2014-02-18T22:20:00,6,81,1008
2014-02-18T10:50:00,6,87,1012
2014-02-18T10:20:00,5,93,1012
2014-02-18T16:50:00,6,81,1009
2014-02-18T10:00:00,5,91,1012
